Tweet_tokenized
"['see', 'her', 'among', 'football', 'players', 'a', 'frigging', 'queen', 'she', 'did', 'that', 'streamshow', '']"
"['', 'badgers', 'notes', 'a', 'big', 'wisconsin', 'notes', 'package', 'talking', 'about', 'what', 'we', 'know', 'about', 'seniors', 'returning', 'in', 'devin', 'chandl']"
"['', 'football', 'factory']"
"['', 'blessed', 'and', 'proud', 'to', 'say', 'i', 'will', 'be', 'playing', 'football', 'and', 'continuing', 'my', 'education', 'at', 'tcnj', 'really', 'excited', 'for', 'the', 'next', 'ye']"
"['we', 'are', 'even', 'more', 'excited', 'that', 'coach', 'hegamin', 'will', 'serve', 'in', 'a', 'new', 'leadership', 'role', 'as', 'our', 'director', 'of', 'footba', '']"
"['', 'if', 'you', 'actually', 'watch', 'football', 'youll', 'know', 'pogba', 'slaps', 'in', 'them', 'balls', 'on', 'a', 'regularwhen', 'you', 'talk', 'about', 'vision', 'amp', 'techni']"
"['', 'i', 'will', 'never', 'understand', 'why', 'people', 'voted', 'for', 'a', 'rich', 'football', 'coach']"
"['', 'after', 'a', 'great', 'conversation', 'with', 'and', 'monaco', 'im', 'thankful', 'to', 'receive', 'an', 'offer', 'to', 'east', 'texas', 'baptist']"
"['', 'board', 'game', 'would', 'be', 'life', 'physical', 'would', 'be', 'hide', 'and', 'seek', 'even', 'after', 'a', 'long', 'day', 'of', 'work', 'then', 'coming', '']"
"['first', 'ever', 'program', 'trivia', 'night', 'begins', 'in', 'hr', 'dm', 'a', 'coach', 'if', 'you', 'need', 'the', 'zoom', 'info', 'will', 'find', 'out', 'who', 'knows', 'west', '']"
"['', 'congratulations', 'on', 'a', 'bronze', 'award', 'for', 'best', 'professional', 'football', 'club', 'in', 'the', 'community', 'the', 'uefa', 'grassroots']"
"['stepp', 'thats', 'taking', 'the', 'canadian', 'out', 'of', 'canadian', 'football', 'league', 'to', 'another', 'level']"
"['', 'bob', 'bowlsby', 'says', 'big', 's', 'sample', 'size', 'should', 'factor', 'in', 'college', 'football', 'playoff', 'committees', 'selections', '']"
"['', 'staying', 'home', 'congrats', 'to', 's', 'amp', 'parker', 'for', 'sig']"
"['this', 'football', 'game', 'might', 'watch', 'me', 'im', 'tired', 'af']"
"['bdillustrated', 'ddt', 'takeaway', 'from', 'national', 'signing', 'day', 'for', 'georgia', 'football', 'bulldawg', 'illustrated', '']"
"['one', 'year', 'ago', 'today', 'i', 'remade', 'my', 'twitter', 'to', 'see', 'what', 'american', 'footballs', 'mike', 'kinsella', 'was', 'tweeting', 'about', 'it', 'has', 'been', 'worth', 'it']"
"['', 'bright', 'played', 'football', 'with', 'his', 'new', 'besties', 'after', 'recording', 'before', 'phuket', 'this', 'child', 'and', 'his', 'energy', '']"
"['chrisgay', 'my', 'annual', 'fantasy', 'football', 'playoff', 'theme', 'song', 'sigh', '']"
"['', 'after', 'a', 'great', 'talk', 'with', 'coach', 'luce', 'im', 'excited', 'and', 'blessed', 'to', 'receive', 'an', 'offer', 'to', 'play', 'd', 'football', 'for', 'ok']"
"['', 'retweet', 'to', 'win', 'a', 'jessie', 'bates', 'iii', 'signed', 'football', 'probowlvote', '']"
"['', 'stepp', 'somebody', 'brought', 'that', 'up', 'one', 'of', 'the', 'biggest', 'upsets', 'high', 'school', 'football']"
"['', 'the', 'game', 'of', 'football']"
"['sports', 'jsz', 'allzone', 'public', 'team', 'kr', 'alshadee', 'salaam', 'the', 'rutgerscommit', 'was', 'a', 'versatile', 'weapon', 'who', 'could', 'score', 'from', 'anywh']"
"['', 'is', 'a', 'gap', 'year', 'worth', 'it', 'for', 'a', 'high', 'school', 'footballplayer', '']"
"['sagerr', 'sad', 'to', 'see', 'it', 'end', 'this', 'waythank', 'you', 'football', 'i', 'love', 'you', '']"
"['', 'louis', 'do', 'you', 'miss', 'playing', 'football', 'tomlinson', '']"
"['crfb', 'sc', 'football', 'academy']"
"['', 'this', 'makes', 'a', 'whole', 'lot', 'of', 'sense', 'because', 'not', 'a', 'lot', 'on', 'the', 'field', 'does', 'right', 'now', '']"
"['', 'lets', 'go', 'love', 'me', 'some', 'football', 'on', 'a', 'thursday', 'night', '']"
"['thursday', 'night', 'football', 'chargers', 'raiders', 'under', 'i', 'expect', 'the', 'teams', 'to', 'rely', 'on', 'run', 'games', 'heavily', 'running', 'up', '']"
"['', 'bet', 'chargers', 'lv', 'd', 'in', 'shambles', 'avg', 'pts', 'in', 'last', 'dl', 'coach', 'is', 'interim', 'd', 'cord', 'bad', 'track', 'record', '']"
"['', 'some', 'of', 'my', 'greatest', 'memories', 'are', 'playing', 'football', 'with', 'my', 'dad', 'tomorrow', 'morning', 'on', '']"
"['', 'class', 'a', 'state', 'championship', 'congrats', 'to', 'trinity', 'christian', 'floridas', 'new', 'class', 'a', 'state', 'champion', 'jacksonvil']"
"['', 'the', 'classic', 'continues', 'vs', 'football', 'the', 'next', 'years', 'aggieeagle', 'ncat', 'aggiepride']"
"['football', 'gaming', 'had', 'the', 'absolute', 'pleasure', 'of', 'meeting', 'amp', 'chatting', 'with', 'the', 'dualsport', 'athlete', 'himself', '']"
"['', 'the', 'face', 'of', 'sooners', 'football', 'down', 'the', 'road', 'graphic', '']"
"['', 'jurgen', 'klopp', 'football', 'at', 'anfield', 'is', 'just', 'different', 'you', 'can', 'park', 'the', 'bus', 'here', 'or', 'park', 'the', 'plane', 'you', 'wont', 'get', 'away', 'with', 'it']"
"['', 'manchester', 'united', 'plays', 'very', 'beautiful', 'counter', 'attacking', 'football']"
"['omg', 'they', 'played', 'football', 'last', 'night', 'ahkkk', '']"
"['straight', 'up', 'stud', 'tough', 'smart', 'and', 'loves', 'football', '']"
"['live', 'now', 'thursday', 'night', 'football', 'bets', 'and', 'the', 'ben', 'simmons', 'rant', 'of', 'my', 'life', '']"
"['', 'get', 'this', 'guy', 'a', 'recruiting', 'visit', 'asap', 'football']"
"['', 'what', 'does', 'incredible', 'facilities', 'awesome', 'uniforms', 'phenomenal', 'campus', 'amp', 'community', 'support', 'and', 'mario', 'kart', 'on', 'n', 'in', 'lo']"
"['', 'in', 'of', 'games', 'we', 'play', 'his', 'best', 'xi', 'he', 'literally', 'broke', 'a', 'yr', 'record', 'for', 'consecutive', 'same', 'team', 'his', 'styl']"
"['', 'mc', 'its', 'professional', 'football', 'lmao', 'sorry', 'if', 'he', 'didnt', '']"
"['', 'of', 'course', 'not', 'the', 'division', 'win', 'would', 'be', 'nice', 'its', 'been', 'a', 'while', 'and', 'this', 'is', 'the', 'strongest', 'division', 'in', '']"
"['', 'milans', 'recent', 'results', 'show', 'that', 'the', 'team', 'is', 'not', 'so', 'much', 'dependent', 'on', 'zlatan', 'ibrahimovic', 'as', 'defender', 'simon', 'kjaer', 'almos']"
"['', 'congratulations', 'to', 'bmchs', 'senior', 'drew', 'scolari', 'today', 'he', 'signed', 'his', 'letter', 'of', 'intent', 'to', 'play', 'football', '']"
"['', 'thier', 'are', 'groups', 'that', 'all', 'like', 'difernt', 'thing', 'idont', 'like', 'football', 'but', 'thier', 'are', 'many', 'who', 'love', 'it', 'some', '']"
"['wolves', 'keeping', 'tabs', 'on', 'divock', 'origi', 'as', 'cover', 'for', 'injured', 'talisman', 'raul', 'jimenez', '']"
"['', 'game', 'in', 'hand', 'does', 'not', 'equal', 'a', 'win', 'with', 'this', 'football', 'club', 'lad']"
"['man', 'utds', 'latest', 'fightback', 'provides', 'optimism', 'that', 'they', 'can', 'compete', 'for', 'the', 'title', '']"
"['', 'this', 'is', 'our', 'best', 'one', 'yet', 'please', 'give', 'us', 'a', 'listen', 'i', 'think', 'theres', 'a', 'very', 'good', 'chance', 'youll', 'enjoy', 'it', 'the', 'football', 'talk']"
"['', 'whats', 'the', 'worst', 'food', 'you', 'have', 'had', 'at', 'a', 'football', 'match', 'heres', 'mine', '']"
"['', 'wasted', 'a', 'perfect', 'year', 'to', 'expand', 'the', 'college', 'football', 'playoff', 'to', 'teams', 'with', 'the', 'power', 'champs', 'grou', '']"
"['manchester', 'united', 'made', 'hard', 'work', 'of', 'their', 'trip', 'to', 'sheffield', 'united', 'as', 'ole', 'gunnar', 'solskjaers', 'red', 'devils', 'came', 'from', 'b', '']"
"['', 'if', 'the', 'reports', 'are', 'true', 'then', 'willian', 'is', 'definitely', 'a', 'contender', 'for', 'the', 'worst', 'signing', 'this', 'football', 'club', 'has', 'ever', 'made']"
"['with', 'these', 'jets', 'it', 'doesnt', 'really', 'matter', 'if', 'its', 'st', 'down', 'nd', 'down', 'rd', 'down', 'or', 'th', 'down', 'he', 'loves', 'to', 'lower', 'hi', '']"
